Timestamp,X Position,Y Position
2024-03-25T11:35:31.209Z,376,523
2024-03-25T11:35:31.649Z,365,556
2024-03-25T11:35:34.857Z,90,630
2024-03-25T11:35:37.137Z,62,303
2024-03-25T11:35:39.794Z,1497,389
2024-03-25T11:35:45.122Z,1480,190
2024-03-25T11:35:47.545Z,679,3462
2024-03-25T11:35:47.945Z,312,3575
2024-03-25T11:35:48.401Z,86,3683
2024-03-25T11:35:50.233Z,61,3383
2024-03-25T11:35:51.408Z,1240,3000
2024-03-25T12:51:53.628Z,44,42
2024-03-25T12:51:54.931Z,1128,41
2024-03-25T12:53:18.548Z,332,554
2024-03-25T12:53:19.403Z,332,554
2024-03-25T12:53:30.371Z,358,3425
2024-03-25T12:53:30.916Z,662,3438
2024-03-25T12:53:31.435Z,876,3453
2024-03-25T12:53:31.947Z,1170,3460
2024-03-25T12:53:34.771Z,232,3974
2024-03-25T12:53:36.660Z,643,344
2024-03-25T12:53:42.475Z,216,4043
2024-03-25T12:53:50.508Z,606,3975
2024-03-25T12:53:55.036Z,595,4178
2024-03-25T12:54:04.444Z,975,4043
2024-03-25T12:54:28.964Z,1299,43
2024-03-25T12:55:58.604Z,619,232
2024-03-25T12:56:05.612Z,1502,991
2024-03-25T12:56:12.188Z,1490,787
2024-03-25T12:56:15.556Z,623,1901
2024-03-25T12:56:19.963Z,588,3740
2024-03-25T12:56:20.571Z,301,3703
2024-03-25T12:56:26.011Z,1152,45
2024-03-25T12:57:40.004Z,569,695
2024-03-25T12:57:41.108Z,352,561
2024-03-25T12:57:42.428Z,347,551
2024-03-25T12:57:46.268Z,442,1570
2024-03-25T12:57:51.324Z,569,3706
2024-03-25T12:57:52.052Z,650,3418
2024-03-25T12:57:53.388Z,1213,3723
2024-03-25T12:57:53.772Z,1222,3465
2024-03-25T12:57:54.292Z,183,3356
2024-03-25T12:57:54.676Z,314,3744
2024-03-25T12:57:58.892Z,1186,42
2024-03-25T11:29:19.785Z,320,546
2024-03-25T11:29:20.488Z,56,627
2024-03-25T11:29:22.352Z,1273,43
2024-03-25T12:52:08.020Z,950,105
2024-03-25T12:52:10.795Z,998,1149
2024-03-25T12:52:16.635Z,1088,2498
2024-03-25T12:52:21.132Z,177,2836
2024-03-25T12:52:25.923Z,1486,2752
2024-03-25T12:52:28.643Z,1259,2580
2024-03-25T12:52:28.644Z,1259,2580
2024-03-25T12:52:31.619Z,1264,2654
2024-03-25T12:52:31.620Z,1264,2654
2024-03-25T12:52:31.899Z,1269,2650
2024-03-25T12:52:36.044Z,0,2130
2024-03-25T12:52:44.412Z,1392,2762
2024-03-25T12:52:46.804Z,1491,392
2024-03-25T12:52:54.572Z,1446,544
2024-03-25T12:52:56.691Z,1251,278
2024-03-25T12:52:58.011Z,1485,258
2024-03-25T12:52:58.780Z,1250,196
2024-03-25T12:53:01.435Z,1295,833
2024-03-25T12:53:03.667Z,745,712
2024-03-25T12:53:06.100Z,1239,543
2024-03-25T12:53:07.003Z,1236,546
2024-03-25T12:53:10.956Z,1449,551
2024-03-25T12:53:12.371Z,1098,719
2024-03-25T12:53:13.469Z,1476,543
2024-03-25T12:53:16.419Z,1054,42
2024-03-25T12:56:27.820Z,848,122
2024-03-25T12:56:32.683Z,558,1155
2024-03-25T12:56:35.435Z,998,1162
2024-03-25T12:56:39.283Z,1465,2148
2024-03-25T12:56:40.643Z,1179,1840
2024-03-25T12:56:42.411Z,844,1730
2024-03-25T12:56:44.019Z,910,1600
2024-03-25T12:56:44.323Z,910,1597
2024-03-25T12:56:44.635Z,879,1602
2024-03-25T12:56:46.459Z,1086,2377
2024-03-25T12:56:47.075Z,1085,2499
2024-03-25T12:56:48.660Z,897,972
2024-03-25T12:56:52.067Z,183,2825
2024-03-25T12:56:53.331Z,172,2828
2024-03-25T12:56:55.579Z,886,3538
2024-03-25T12:56:59.187Z,360,3952
2024-03-25T12:57:01.555Z,1305,1074
2024-03-25T12:57:01.835Z,1301,1061
2024-03-25T12:57:59.765Z,850,113
2024-03-25T12:58:02.948Z,1475,593
2024-03-25T12:58:04.540Z,1171,298
2024-03-25T12:58:05.188Z,1182,298
2024-03-25T12:58:15.940Z,30,36
2024-03-25T12:51:57.771Z,901,111
2024-03-25T12:52:03.795Z,551,1149
2024-03-25T12:52:05.931Z,1162,43
2024-03-25T11:34:52.377Z,235,475
2024-03-25T11:34:53.378Z,258,1080
2024-03-25T11:34:54.049Z,950,1591
2024-03-25T11:34:56.993Z,1441,1812
