Timestamp,X Position,Y Position
2024-03-25T12:52:08.020Z,950,105
2024-03-25T12:52:10.795Z,998,1149
2024-03-25T12:52:16.635Z,1088,2498
2024-03-25T12:52:21.132Z,177,2836
2024-03-25T12:52:25.923Z,1486,2752
2024-03-25T12:52:28.643Z,1259,2580
2024-03-25T12:52:28.644Z,1259,2580
2024-03-25T12:52:31.619Z,1264,2654
2024-03-25T12:52:31.620Z,1264,2654
2024-03-25T12:52:31.899Z,1269,2650
2024-03-25T12:52:36.044Z,0,2130
2024-03-25T12:52:44.412Z,1392,2762
2024-03-25T12:52:46.804Z,1491,392
2024-03-25T12:52:54.572Z,1446,544
2024-03-25T12:52:56.691Z,1251,278
2024-03-25T12:52:58.011Z,1485,258
2024-03-25T12:52:58.780Z,1250,196
2024-03-25T12:53:01.435Z,1295,833
2024-03-25T12:53:03.667Z,745,712
2024-03-25T12:53:06.100Z,1239,543
2024-03-25T12:53:07.003Z,1236,546
2024-03-25T12:53:10.956Z,1449,551
2024-03-25T12:53:12.371Z,1098,719
2024-03-25T12:53:13.469Z,1476,543
2024-03-25T12:53:16.419Z,1054,42
2024-03-25T12:56:27.820Z,848,122
2024-03-25T12:56:32.683Z,558,1155
2024-03-25T12:56:35.435Z,998,1162
2024-03-25T12:56:39.283Z,1465,2148
2024-03-25T12:56:40.643Z,1179,1840
2024-03-25T12:56:42.411Z,844,1730
2024-03-25T12:56:44.019Z,910,1600
2024-03-25T12:56:44.323Z,910,1597
2024-03-25T12:56:44.635Z,879,1602
2024-03-25T12:56:46.459Z,1086,2377
2024-03-25T12:56:47.075Z,1085,2499
2024-03-25T12:56:48.660Z,897,972
2024-03-25T12:56:52.067Z,183,2825
2024-03-25T12:56:53.331Z,172,2828
2024-03-25T12:56:55.579Z,886,3538
2024-03-25T12:56:59.187Z,360,3952
2024-03-25T12:57:01.555Z,1305,1074
2024-03-25T12:57:01.835Z,1301,1061
2024-03-25T12:57:59.765Z,850,113
2024-03-25T12:58:02.948Z,1475,593
2024-03-25T12:58:04.540Z,1171,298
2024-03-25T12:58:05.188Z,1182,298
2024-03-25T12:58:15.940Z,30,36
2024-03-25T12:51:57.771Z,901,111
2024-03-25T12:52:03.795Z,551,1149
2024-03-25T12:52:05.931Z,1162,43
