Timestamp,X Position,Y Position
2024-03-25T11:34:52.377Z,235,475
2024-03-25T11:34:53.378Z,258,1080
2024-03-25T11:34:54.049Z,950,1591
2024-03-25T11:34:56.993Z,1441,1812
2024-03-25T11:36:03.817Z,881,2341
2024-03-25T11:36:04.296Z,819,2351
2024-03-25T11:36:04.665Z,709,2357
2024-03-25T11:36:05.001Z,517,2365
2024-03-25T11:36:05.840Z,822,2120
2024-03-25T11:36:06.344Z,773,2212
2024-03-25T11:36:06.697Z,874,2224
2024-03-25T11:36:07.146Z,733,2444
2024-03-25T11:36:08.336Z,773,2389
2024-03-25T11:36:10.520Z,1206,3159
2024-03-25T11:36:11.512Z,1277,3331
2024-03-25T11:52:39.170Z,1052,48
2024-03-25T12:54:47.940Z,635,3725
2024-03-25T12:54:52.700Z,143,3720
2024-03-25T12:54:59.164Z,1470,92
2024-03-25T12:55:01.299Z,1373,45
2024-03-25T12:57:03.628Z,670,243
2024-03-25T12:57:06.363Z,604,1632
2024-03-25T12:57:07.379Z,875,2260
2024-03-25T12:57:08.299Z,345,2897
2024-03-25T12:57:12.180Z,1386,49
2024-03-25T12:57:12.635Z,1386,45
2024-03-25T11:32:48.249Z,1105,232
2024-03-25T11:32:48.777Z,1092,327
2024-03-25T11:32:49.218Z,1373,498
2024-03-25T11:32:49.585Z,1030,524
2024-03-25T11:32:50.218Z,1472,412
2024-03-25T11:32:51.249Z,964,557
2024-03-25T11:33:13.425Z,312,1608
2024-03-25T11:33:40.513Z,556,3446
2024-03-25T11:33:42.129Z,580,3481
2024-03-25T11:33:43.185Z,157,3450
2024-03-25T11:33:44.081Z,162,3411
2024-03-25T11:33:44.785Z,196,3393
2024-03-25T11:33:46.249Z,186,3342
2024-03-25T11:33:51.000Z,187,3312
2024-03-25T11:34:10.826Z,1492,3036
2024-03-25T11:34:17.320Z,43,3449
2024-03-25T11:34:18.344Z,190,3292
2024-03-25T11:34:18.345Z,190,3292
2024-03-25T11:34:22.640Z,198,3352
2024-03-25T11:34:29.280Z,146,3440
2024-03-25T11:34:29.281Z,146,3440
2024-03-25T11:34:34.936Z,259,3596

